1,4294967296,-2,3
1,4294967297,-2,3718
1,4294967296,-1,96
1,4294967297,-1,602
1,4294967296,0,1
1,4294967297,0,104
1,4294967296,1,1
1,4294967297,1,143
1,4294967297,2,16670
1,4294967296,3,2
1,4294967297,3,1192
1,4294967297,4,180
1,4294967297,5,16
1,4294967297,6,0
4,17179869184,-2,5084
4,17179869185,-2,2
4,17179869184,-1,536
4,17179869185,-1,47
4,17179869184,0,142
4,17179869185,0,0
4,17179869184,1,163
4,17179869185,1,0
4,17179869184,2,10700
4,17179869184,3,4211
4,17179869185,3,2
4,17179869184,4,1538
4,17179869184,5,255
4,17179869185,5,0
4,17179869184,6,14
4,17179869184,7,1
7,30064771072,-2,6204
7,30064771073,-2,1
7,30064771072,-1,578
7,30064771073,-1,63
7,30064771072,0,148
7,30064771073,0,0
7,30064771072,1,189
7,30064771073,1,0
7,30064771072,2,12045
7,30064771072,3,4160
7,30064771073,3,2
7,30064771072,4,1633
7,30064771072,5,253
7,30064771072,6,19
7,30064771072,7,0
2,8589934592,-2,3823
2,8589934592,-1,661
2,8589934592,0,138
2,8589934592,1,152
2,8589934592,2,14448
2,8589934592,3,1531
2,8589934592,4,207
2,8589934592,5,18
2,8589934592,6,1
5,21474836480,-2,4690
5,21474836480,-1,520
5,21474836480,0,135
5,21474836480,1,174
5,21474836480,2,12361
5,21474836480,3,1576
5,21474836480,4,951
5,21474836480,5,164
5,21474836480,6,7
5,21474836480,7,0
6,25769803776,-2,11662
6,25769803776,-1,558
6,25769803776,0,146
6,25769803776,1,174
6,25769803776,2,22824
6,25769803776,3,13048
6,25769803776,4,1587
6,25769803776,5,203
6,25769803776,6,6
6,25769803776,7,1
0,0,-2,3454
0,0,-1,670
0,0,0,103
0,0,1,6935
0,0,3,1310
0,0,4,118
0,0,5,16
0,0,6,1
3,12884901888,-2,4392
3,12884901888,-1,754
3,12884901888,0,147
3,12884901888,1,175
3,12884901888,2,20720
3,12884901888,3,656
3,12884901888,4,228
3,12884901888,5,16
3,12884901888,6,11
