SourceVertex,SubgraphId,PartitionId:1536221,25769803776,6
superstep,partition,subgraphID,time
6,12,51539607553,569
7,12,51539607553,25
8,12,51539607552,1
8,12,51539607553,8
9,12,51539607553,1
0,8,34359738368,5246
1,8,34359738368,1939
2,8,34359738368,128
3,8,34359738368,138
4,8,34359738368,3115
5,8,34359738368,1104
6,8,34359738368,309
7,8,34359738368,22
8,8,34359738368,2
0,25,107374182400,1922
1,25,107374182400,1799
2,25,107374182400,85
3,25,107374182400,177
4,25,107374182400,1796
5,25,107374182400,1227
6,25,107374182400,293
7,25,107374182400,351
8,25,107374182400,18
9,25,107374182400,2
0,38,163208757248,1276
0,38,163208757249,2
1,38,163208757248,1737
1,38,163208757249,32
2,38,163208757248,97
2,38,163208757249,0
3,38,163208757248,172
3,38,163208757249,0
4,38,163208757248,1908
5,38,163208757248,933
5,38,163208757249,1
6,38,163208757248,860
7,38,163208757248,104
8,38,163208757248,16
9,38,163208757248,1
0,7,30064771072,2396
1,7,30064771072,1679
2,7,30064771072,106
3,7,30064771072,110
4,7,30064771072,2767
5,7,30064771072,819
6,7,30064771072,196
7,7,30064771072,16
8,7,30064771072,1
0,22,94489280512,2790
1,22,94489280512,1838
2,22,94489280512,104
3,22,94489280512,112
4,22,94489280512,2160
5,22,94489280512,1427
6,22,94489280512,314
7,22,94489280512,125
8,22,94489280512,15
9,22,94489280512,2
0,10,42949672960,9928
1,10,42949672960,1862
2,10,42949672960,176
3,10,42949672960,234
4,10,42949672960,7181
5,10,42949672960,1297
6,10,42949672960,182
7,10,42949672960,15
8,10,42949672960,2
0,3,12884901888,5276
1,3,12884901888,1846
2,3,12884901888,129
3,3,12884901888,115
4,3,12884901888,3466
5,3,12884901888,998
6,3,12884901888,294
7,3,12884901888,17
8,3,12884901888,1
0,14,60129542144,9807
1,14,60129542144,1776
2,14,60129542144,170
3,14,60129542144,148
4,14,60129542144,6858
5,14,60129542144,1084
6,14,60129542144,378
7,14,60129542144,16
8,14,60129542144,1
0,36,154618822656,1474
1,36,154618822656,2186
2,36,154618822656,165
3,36,154618822656,108
4,36,154618822656,2028
5,36,154618822656,920
6,36,154618822656,259
7,36,154618822656,85
8,36,154618822656,15
9,36,154618822656,2
0,18,77309411328,2785
1,18,77309411328,1795
2,18,77309411328,109
3,18,77309411328,96
4,18,77309411328,2765
5,18,77309411328,911
6,18,77309411328,248
7,18,77309411328,20
8,18,77309411328,1
9,18,77309411328,1
0,24,103079215104,5
0,24,103079215105,2044
1,24,103079215104,72
1,24,103079215105,1855
2,24,103079215104,2
2,24,103079215105,108
3,24,103079215104,1
3,24,103079215105,123
4,24,103079215105,1922
5,24,103079215104,1
5,24,103079215105,1227
6,24,103079215105,300
7,24,103079215105,119
8,24,103079215104,3
8,24,103079215105,18
9,24,103079215105,1
0,20,85899345920,4
0,20,85899345921,1029
1,20,85899345920,64
1,20,85899345921,1419
2,20,85899345920,1
2,20,85899345921,78
3,20,85899345920,0
3,20,85899345921,92
4,20,85899345921,1504
5,20,85899345920,1
5,20,85899345921,835
6,20,85899345921,215
7,20,85899345921,92
8,20,85899345921,12
9,20,85899345921,1
0,31,133143986176,2766
0,31,133143986177,2
1,31,133143986176,1727
1,31,133143986177,51
2,31,133143986176,115
2,31,133143986177,1
3,31,133143986176,109
3,31,133143986177,0
4,31,133143986176,1930
5,31,133143986176,1351
5,31,133143986177,1
6,31,133143986176,402
7,31,133143986176,143
8,31,133143986176,19
9,31,133143986176,1
0,26,111669149696,2570
1,26,111669149696,1802
2,26,111669149696,83
3,26,111669149696,102
4,26,111669149696,2249
5,26,111669149696,712
6,26,111669149696,258
7,26,111669149696,80
8,26,111669149696,13
9,26,111669149696,1
0,32,137438953472,1337
1,32,137438953472,1713
2,32,137438953472,81
3,32,137438953472,100
4,32,137438953472,1869
5,32,137438953472,718
6,32,137438953472,563
7,32,137438953472,116
8,32,137438953472,14
9,32,137438953472,1
0,30,128849018880,1386
1,30,128849018880,1719
2,30,128849018880,80
3,30,128849018880,85
4,30,128849018880,1706
5,30,128849018880,1723
6,30,128849018880,273
7,30,128849018880,114
8,30,128849018880,18
9,30,128849018880,1
0,33,141733920768,2558
0,33,141733920769,3
1,33,141733920768,1771
1,33,141733920769,19
2,33,141733920768,83
2,33,141733920769,0
3,33,141733920768,100
3,33,141733920769,0
4,33,141733920768,1714
5,33,141733920768,1306
5,33,141733920769,1
6,33,141733920768,375
6,33,141733920769,0
7,33,141733920768,132
8,33,141733920768,16
9,33,141733920768,1
0,9,38654705664,2864
1,9,38654705664,1771
2,9,38654705664,110
3,9,38654705664,114
4,9,38654705664,2863
5,9,38654705664,1224
6,9,38654705664,274
7,9,38654705664,16
8,9,38654705664,2
0,27,115964116992,4
0,27,115964116994,0
0,27,115964116993,1
0,27,115964116995,1894
0,27,115964116996,2
1,27,115964116992,85
1,27,115964116994,23
1,27,115964116993,18
1,27,115964116995,1692
1,27,115964116996,26
2,27,115964116992,2
2,27,115964116994,0
2,27,115964116993,0
2,27,115964116995,119
2,27,115964116996,0
3,27,115964116992,1
3,27,115964116994,0
3,27,115964116993,0
3,27,115964116995,121
3,27,115964116996,0
4,27,115964116995,1698
5,27,115964116992,1
5,27,115964116994,1
5,27,115964116993,1
5,27,115964116995,1618
5,27,115964116996,1
6,27,115964116992,1
6,27,115964116994,1
6,27,115964116995,332
6,27,115964116996,1
7,27,115964116994,1
7,27,115964116995,134
8,27,115964116995,22
9,27,115964116995,2
0,19,81604378624,5562
0,19,81604378625,3
1,19,81604378624,1999
1,19,81604378625,64
2,19,81604378624,126
2,19,81604378625,0
3,19,81604378624,131
3,19,81604378625,0
4,19,81604378624,3442
5,19,81604378624,1241
5,19,81604378625,2
6,19,81604378624,367
6,19,81604378625,0
7,19,81604378624,26
7,19,81604378625,1
8,19,81604378624,1
